special_call,country,operators
OP0WWA,Belgium,"ON3NYL, ON4AEO, ON4BW, ON4BWT, ON4DS, ON4EM, ON4FF, ON4HIL, ON4IA, ON4JZ, ON4ZD, ON5JT, ON5OO, ON6QS, ON7BK, ON7HB, ON7IO, ON7SAT, ON7ZB, ON9TT, OT1A"
RW1F,European Russia,"R1CP, RT1B, RW1A, RW1F"
S53WWA,Slovenia,"S51D, S51FB, S52F, S53M, S53TG, S53ZO, S55BA, S55OO"
SB9WWA,Sweden,"SM1HEV, SM5YRA"
SC9WWA,Sweden,"SA0LEK, SM5GMZ, SM6KKX"
SD9WWA,Sweden,"SA7PGN, SB7S"
SK3WWA,Sweden,"SA3AWT, SA3CAT, SA3KAK, SA3MGL, SA3YTA, SK3BG, SM3ESX, SM3FJF, SM3GSK, SM3KDY, SM3LDP, SM3LIV, SM3MLX, SM3SJN, SM4UQO"
SN0WWA,Poland,"SP6AXW, SP6HZ, SP6IEQ, SP6KBU, SP6OWY, SP6PZG, SP6RGG, SP6TH"
SN1WWA,Poland,SP1EG
SN2WWA,Poland,"SP2MKI, SQ2GXO, SQ2MMX"
SN3WWA,Poland,"SP3BW, SP3JDZ, SP3QDX, SP3TYJ, SP6ZWD, SP7FAH, SP8SAN, SP8SAN, SP9CJM, SP9DLY, SP9DLY, SP9GFI, SP9LUB, SP9MKP, SP9N, SQ7M, SQ9LC, SQ9NIS, SQ9S"
SN4WWA,Poland,"SP2R, SP4CUF, SP4JCP, SP4JFR, SP4OIK, SP4TKB, SP4TKR, SP4TT, SP5LST, SQ9EDZ"
SN6WWA,Poland,"SP1NQN, SP6TO, SQ6JNX"
SX0W,Greece,"SV1ME, SV2CLJ, SV2DCD, SV2DSJ, SV2EVS, SV2TCB, SV3SFK, SV3SKM, SV8OVH, SV8OVJ, SV9DJO, SV9FBG, SV9GPV"
TK4TH,Corsica,TK4TH
TM2WWA,France,"F1PBZ, F1PFU, F4CXO, F4PAN, F5MSE, F6GWV, F8FFP, F8GAF"
TM8WWA,France,"F1NNI, F4BDG, F4DSK, F4FPR, F4GYM, F4HQZ, F4JAK, F4JJS, F4MXQ, F4NEZ, F4VXC, F4WCE, F5MUX, F5NBX, F5NTZ, F6IFY, F8CRS, F8DGY, F8GNV"
UP7WWA,Kazakhstan,"UN6LN, UN9L"
VE6WWA,Canada,VA6RCN
VE9WWA,Canada,VE9CZ
VK5WWA,Australia,"VK5AJQ, VK5CV, VK5JEB"
YL73R,Latvia,"YL1ZF, YL3RZ"
YO0WWA,Romania,"W9GZU, YO2VG, YO3HEX, YO3IMD, YO3XX, YO4RIU, YO8BDW, YO8CLN, YO8NUT, YO8SKY, YO8TTT, YO8XAM, YO8XBA, YO8XXX, YO9HP, YO9WF"
YU45MJA,Serbia,"YT1HA, YT2YZ, YT3NR, YT5KD, YU1ZZ, YU2M, YU4IZZ, YU6DX"
Z30WWA,North Macedonia,"Z31NFT, Z31PET, Z31R, Z32U, Z33B, Z33PB, Z35U, Z37CEF"
